ID,Name,Vulnerability,Speakers,Coordinates
gbm,Garhwali,Vulnerable,2920000.0,"30.0976,79.1235"
pms,Piemontese,Vulnerable,2000000.0,"45.0,7.66666666667"
ydd,Eastern Yiddish,At,1200000.0,"55.0,25.0"
rgn,Romagnol,Threatened,1000000.0,"44.23,11.72"
quc,K'iche',Vulnerable,922378.0,"19.3482,-90.7177"
tly,Talysh,At,912000.0,"37.0,49.0"
rmy,Vlax Romani,At,885970.0,"47.0,21.5"
anw,Anaang,Vulnerable,733040.0,"5.193697,7.933819"
grt,Garo,Vulnerable,700000.0,"25.6666666667,90.5"
rmn,Balkan Romani,At,611800.0,"42.6666666667,21.1666666667"
fur,Friulian,Threatened,600412.0,"46.1037,13.1396"
wln,Walloon,Threatened,600000.0,"50.4575,4.8559"
cym,Welsh,Vulnerable,562016.0,"53.14,-4.27"
mrg,Mising,At,551224.0,"28.5,94.8333333333"
mhr,Eastern Mari,Vulnerable,500000.0,"57.0,48.0"
sro,Campidanese Sardinian,Vulnerable,500000.0,"40.0,9.0"
src,Logudorese Sardinian,Threatened,500000.0,"40.1116,9.1845"
kxu,Kui (India),At,500000.0,"20.0,83.5"
bfz,Mahasu Pahari,At,500000.0,"31.2738,77.1295"
rmc,Carpathian Romani,At,472470.0,"46.3165,22.3681"
lad,Ladino,At,400000.0,"40.0,33.0"
nhw,Western Huasteca Nahuatl,At,400000.0,"22.0,-99.0"
srx,Sirmauri,At,400000.0,"30.9823,77.1569"
bap,Bantawa,Threatened,371056.0,"27.0994,87.0048"
ajt,Judeo-Tunisian Arabic,At,352500.0,"33.8795,10.0634"
rup,Aromanian,Threatened,350000.0,"40.2292,21.1376"
bgx,Balkan Gagauz Turkish,Threatened,331000.0,"41.4633,22.6977"
ggn,Eastern Gurung,Threatened,325000.0,"28.3333333333,84.3333333333"
gvr,Western Gurung,Threatened,325000.0,"28.3333333333,84.3333333333"
udm,Udmurt,Threatened,324338.0,"57.5,52.5"
rmo,Sinte Romani,At,318920.0,"47.5,16.5"
guc,Guajiro,Vulnerable,312730.0,"12.0,-72.0"
ywt,Central Lalo,Vulnerable,300000.0,"25.0,100.25"
khw,Khowar,At,300000.0,"36.0,72.0"
lif,Limbu,Threatened,300000.0,"27.1666666667,87.75"
bxm,Eastern Buryat,Vulnerable,300000.0,"52.0,108.0"
bft,Balti,At,270000.0,"35.900731,74.409599"
qvw,Jauja-Huanca Quechua,At,250000.0,"-12.136,-75.2453"
